Tabela,Data,Kurs,Zmiana
1/A/NBP/2010,2010-01-04,2.8465,0
2/A/NBP/2010,2010-01-05,2.8264,-0.71
3/A/NBP/2010,2010-01-06,2.8493,0.81
4/A/NBP/2010,2010-01-07,2.8631,0.48
5/A/NBP/2010,2010-01-08,2.8683,0.18
6/A/NBP/2010,2010-01-11,2.7983,-2.44
7/A/NBP/2010,2010-01-12,2.8167,0.66
8/A/NBP/2010,2010-01-13,2.8009,-0.56
9/A/NBP/2010,2010-01-14,2.793,-0.28
10/A/NBP/2010,2010-01-15,2.7973,0.15
11/A/NBP/2010,2010-01-18,2.8042,0.25
12/A/NBP/2010,2010-01-19,2.7974,-0.24
13/A/NBP/2010,2010-01-20,2.8296,1.15
14/A/NBP/2010,2010-01-21,2.8928,2.23
15/A/NBP/2010,2010-01-22,2.8785,-0.49
16/A/NBP/2010,2010-01-25,2.8688,-0.34
17/A/NBP/2010,2010-01-26,2.9068,1.32
18/A/NBP/2010,2010-01-27,2.9082,0.05
19/A/NBP/2010,2010-01-28,2.8957,-0.43
20/A/NBP/2010,2010-01-29,2.9083,0.44
21/A/NBP/2010,2010-02-01,2.8787,-1.02
22/A/NBP/2010,2010-02-02,2.8603,-0.64
23/A/NBP/2010,2010-02-03,2.8321,-0.99
24/A/NBP/2010,2010-02-04,2.9071,2.65
25/A/NBP/2010,2010-02-05,2.9915,2.9
26/A/NBP/2010,2010-02-08,2.9896,-0.06
27/A/NBP/2010,2010-02-09,2.9673,-0.75
28/A/NBP/2010,2010-02-10,2.9463,-0.71
29/A/NBP/2010,2010-02-11,2.9503,0.14
30/A/NBP/2010,2010-02-12,2.9428,-0.25
31/A/NBP/2010,2010-02-15,2.9548,0.41
32/A/NBP/2010,2010-02-16,2.9428,-0.41
33/A/NBP/2010,2010-02-17,2.9007,-1.43
34/A/NBP/2010,2010-02-18,2.935,1.18
35/A/NBP/2010,2010-02-19,2.9658,1.05
36/A/NBP/2010,2010-02-22,2.9166,-1.66
37/A/NBP/2010,2010-02-23,2.904,-0.43
38/A/NBP/2010,2010-02-24,2.957,1.83
39/A/NBP/2010,2010-02-25,2.9601,0.1
40/A/NBP/2010,2010-02-26,2.9251,-1.18
41/A/NBP/2010,2010-03-01,2.8891,-1.23
42/A/NBP/2010,2010-03-02,2.9152,0.9
43/A/NBP/2010,2010-03-03,2.8782,-1.27
44/A/NBP/2010,2010-03-04,2.867,-0.39
45/A/NBP/2010,2010-03-05,2.8568,-0.36
46/A/NBP/2010,2010-03-08,2.8372,-0.69
47/A/NBP/2010,2010-03-09,2.8577,0.72
48/A/NBP/2010,2010-03-10,2.8531,-0.16
49/A/NBP/2010,2010-03-11,2.8561,0.11
50/A/NBP/2010,2010-03-12,2.8312,-0.87
51/A/NBP/2010,2010-03-15,2.8449,0.48
52/A/NBP/2010,2010-03-16,2.8393,-0.2
53/A/NBP/2010,2010-03-17,2.8083,-1.09
54/A/NBP/2010,2010-03-18,2.8285,0.72
55/A/NBP/2010,2010-03-19,2.8673,1.37
56/A/NBP/2010,2010-03-22,2.8953,0.98
57/A/NBP/2010,2010-03-23,2.8804,-0.51
58/A/NBP/2010,2010-03-24,2.8975,0.59
59/A/NBP/2010,2010-03-25,2.9163,0.65
60/A/NBP/2010,2010-03-26,2.9062,-0.35
61/A/NBP/2010,2010-03-29,2.8864,-0.68
62/A/NBP/2010,2010-03-30,2.8748,-0.4
63/A/NBP/2010,2010-03-31,2.872,-0.1
64/A/NBP/2010,2010-04-01,2.8506,-0.75
65/A/NBP/2010,2010-04-02,2.8426,-0.28
66/A/NBP/2010,2010-04-06,2.8618,0.68
67/A/NBP/2010,2010-04-07,2.8675,0.2
68/A/NBP/2010,2010-04-08,2.8975,1.05
69/A/NBP/2010,2010-04-09,2.8634,-1.18
70/A/NBP/2010,2010-04-12,2.8373,-0.91
71/A/NBP/2010,2010-04-13,2.8596,0.79
72/A/NBP/2010,2010-04-14,2.8325,-0.95
73/A/NBP/2010,2010-04-15,2.8491,0.59
74/A/NBP/2010,2010-04-16,2.8573,0.29
75/A/NBP/2010,2010-04-19,2.9009,1.53
76/A/NBP/2010,2010-04-20,2.8868,-0.49
77/A/NBP/2010,2010-04-21,2.879,-0.27
78/A/NBP/2010,2010-04-22,2.8822,0.11
79/A/NBP/2010,2010-04-23,2.9148,1.13
80/A/NBP/2010,2010-04-26,2.9068,-0.27
81/A/NBP/2010,2010-04-27,2.9158,0.31
82/A/NBP/2010,2010-04-28,3.0038,3.02
83/A/NBP/2010,2010-04-29,2.9591,-1.49
84/A/NBP/2010,2010-04-30,2.9305,-0.97
85/A/NBP/2010,2010-05-04,2.9928,2.13
86/A/NBP/2010,2010-05-05,3.1014,3.63
87/A/NBP/2010,2010-05-06,3.1802,2.54
88/A/NBP/2010,2010-05-07,3.2808,3.16
89/A/NBP/2010,2010-05-10,3.0667,-6.53
90/A/NBP/2010,2010-05-11,3.1888,3.98
91/A/NBP/2010,2010-05-12,3.1356,-1.67
92/A/NBP/2010,2010-05-13,3.1473,0.37
93/A/NBP/2010,2010-05-14,3.186,1.23
94/A/NBP/2010,2010-05-17,3.277,2.86
95/A/NBP/2010,2010-05-18,3.2284,-1.48
96/A/NBP/2010,2010-05-19,3.3595,4.06
97/A/NBP/2010,2010-05-20,3.3171,-1.26
98/A/NBP/2010,2010-05-21,3.3143,-0.08
99/A/NBP/2010,2010-05-24,3.3047,-0.29
100/A/NBP/2010,2010-05-25,3.419,3.46
101/A/NBP/2010,2010-05-26,3.352,-1.96
102/A/NBP/2010,2010-05-27,3.344,-0.24
103/A/NBP/2010,2010-05-28,3.2545,-2.68
104/A/NBP/2010,2010-05-31,3.3132,1.8
105/A/NBP/2010,2010-06-01,3.3953,2.48
106/A/NBP/2010,2010-06-02,3.3601,-1.04
107/A/NBP/2010,2010-06-04,3.3542,-0.18
108/A/NBP/2010,2010-06-07,3.4916,4.1
109/A/NBP/2010,2010-06-08,3.4772,-0.41
110/A/NBP/2010,2010-06-09,3.4513,-0.74
111/A/NBP/2010,2010-06-10,3.4301,-0.61
112/A/NBP/2010,2010-06-11,3.3761,-1.57
113/A/NBP/2010,2010-06-14,3.339,-1.1
114/A/NBP/2010,2010-06-15,3.3397,0.02
115/A/NBP/2010,2010-06-16,3.3064,-1
116/A/NBP/2010,2010-06-17,3.3095,0.09
117/A/NBP/2010,2010-06-18,3.2864,-0.7
118/A/NBP/2010,2010-06-21,3.2463,-1.22
119/A/NBP/2010,2010-06-22,3.2912,1.38
120/A/NBP/2010,2010-06-23,3.3054,0.43
121/A/NBP/2010,2010-06-24,3.3295,0.73
122/A/NBP/2010,2010-06-25,3.3643,1.05
123/A/NBP/2010,2010-06-28,3.327,-1.11
124/A/NBP/2010,2010-06-29,3.4157,2.67
125/A/NBP/2010,2010-06-30,3.3946,-0.62
126/A/NBP/2010,2010-07-01,3.3773,-0.51
127/A/NBP/2010,2010-07-02,3.3152,-1.84
128/A/NBP/2010,2010-07-05,3.2824,-0.99
129/A/NBP/2010,2010-07-06,3.2636,-0.57
130/A/NBP/2010,2010-07-07,3.2851,0.66
131/A/NBP/2010,2010-07-08,3.2259,-1.8
132/A/NBP/2010,2010-07-09,3.2124,-0.42
133/A/NBP/2010,2010-07-12,3.2511,1.2
134/A/NBP/2010,2010-07-13,3.2499,-0.04
135/A/NBP/2010,2010-07-14,3.1925,-1.77
136/A/NBP/2010,2010-07-15,3.175,-0.55
137/A/NBP/2010,2010-07-16,3.1608,-0.45
138/A/NBP/2010,2010-07-19,3.1825,0.69
139/A/NBP/2010,2010-07-20,3.1754,-0.22
140/A/NBP/2010,2010-07-21,3.2017,0.83
